x.bar,y.bar,xybar,x.edge,y.edge,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,letter
5,10,9,4,3,?,13,8,8,15,13,12,11,12,5,K
8,11,9,6,6,11,11,9,?,9,?,12,13,12,9,B
7,9,13,11,5,6,10,?,12,13,?,?,11,?,8,M
8,10,8,4,9,13,13,?,?,15,14,13,?,9,9,E
11,14,8,7,11,10,12,10,12,14,14,11,10,12,?,E
5,11,13,4,5,?,9,9,10,15,15,15,?,7,6,K
5,15,14,3,3,10,?,10,12,?,12,10,17,9,6,F
14,4,14,4,5,8,?,11,15,14,13,11,8,7,8,L
2,14,15,0,2,7,?,7,6,?,11,10,14,10,2,F
11,8,14,6,12,9,12,14,?,9,11,8,10,9,8,Q
10,14,17,2,5,7,?,?,7,4,16,15,14,10,5,P
2,0,1,1,1,?,?,?,6,7,13,12,12,11,2,L
8,11,10,8,11,7,10,10,?,13,14,?,11,8,10,X
10,11,13,3,7,8,?,4,5,?,14,14,12,9,?,B
8,10,14,5,5,9,9,11,14,10,13,?,13,?,10,H
10,13,9,2,0,3,13,?,?,11,14,?,15,?,4,Y
11,9,13,3,5,?,11,?,9,11,15,14,13,?,5,S
10,13,16,1,5,7,13,?,12,5,13,?,?,?,7,P
10,10,9,3,5,12,11,3,?,?,15,17,13,11,2,O
10,9,12,1,8,12,10,2,3,11,?,16,?,5,2,Z
11,10,10,4,4,11,10,7,7,9,15,?,14,10,6,H
9,9,11,1,11,17,?,7,7,10,14,?,13,4,4,Z
5,15,15,4,2,9,?,7,8,9,15,14,12,12,5,V
8,14,14,2,5,9,11,?,9,5,14,14,14,13,4,P
7,13,11,3,1,5,12,6,10,11,?,15,15,?,?,Y
13,10,15,5,8,8,13,?,11,8,?,14,12,9,?,F
9,8,9,7,1,9,9,?,3,?,15,?,12,16,2,M
10,6,11,0,3,?,12,9,10,?,14,?,13,6,6,L
9,9,14,4,15,7,10,11,14,11,9,16,13,11,?,Z
8,11,10,2,6,?,?,6,6,18,13,13,11,11,?,C
14,3,18,2,0,?,11,5,8,?,12,15,9,15,3,J
11,9,8,6,9,12,?,6,7,11,15,14,?,5,5,X
7,9,10,4,6,?,13,5,8,?,14,15,11,9,5,K
9,9,9,10,3,?,11,9,?,11,13,12,12,?,8,U
9,10,9,4,6,8,11,11,10,?,14,13,?,11,?,X
8,12,8,2,6,17,9,5,12,16,?,?,?,7,4,C
11,9,12,10,3,7,8,10,12,11,17,?,11,?,7,M
9,10,10,1,0,8,?,8,?,12,7,5,13,?,0,I
8,7,11,2,3,6,12,5,?,13,14,14,11,7,?,L
6,13,6,11,3,9,13,?,12,16,?,14,14,12,8,M
11,9,8,3,4,?,10,2,4,?,15,16,13,11,4,Q
9,9,9,4,1,13,11,11,13,?,10,9,13,?,?,H
9,8,8,5,10,?,11,10,14,11,13,12,?,13,10,H
16,4,14,8,2,6,10,11,10,12,16,13,8,?,4,M
10,11,12,5,12,8,11,15,?,8,13,13,?,11,8,G
9,9,10,6,9,7,14,?,12,?,10,12,12,13,12,P
7,12,13,5,5,10,?,10,12,13,?,14,13,9,?,H
12,15,9,2,2,7,12,?,4,?,15,15,13,?,2,Y
11,10,10,4,3,10,11,6,8,10,13,14,?,?,4,O
10,12,9,4,0,16,10,10,11,10,11,?,12,?,6,H
10,15,10,4,7,5,12,8,13,7,10,16,13,10,?,Y
10,10,12,7,4,?,11,13,11,11,14,10,12,7,?,K
9,9,9,3,5,?,12,4,5,12,14,14,?,10,4,G
10,4,9,3,3,4,8,?,9,11,?,12,?,10,?,A
14,10,10,6,8,?,10,7,9,?,14,12,14,10,6,J
10,8,9,9,3,?,9,?,8,12,14,14,10,12,6,M
9,9,9,7,7,10,14,?,6,8,?,17,11,10,?,B
12,10,13,4,5,?,?,7,8,11,15,15,?,?,5,K
6,15,15,2,4,8,?,9,10,6,?,11,14,14,6,P
11,8,12,3,4,10,?,4,7,11,?,15,12,13,?,O
9,11,10,4,6,?,12,?,?,9,14,13,?,12,4,O
5,13,14,2,3,8,?,10,10,8,13,12,16,7,?,Y
10,14,8,2,3,7,12,?,5,11,15,?,?,8,2,Y
14,9,14,7,2,7,11,8,10,?,14,14,13,9,?,N
13,6,10,3,5,?,9,10,11,?,14,11,12,10,7,J
15,8,15,0,2,9,11,4,6,9,15,14,?,7,3,J
13,9,10,6,3,?,12,?,8,?,?,11,15,10,5,V
6,13,13,2,3,10,13,8,10,?,14,?,16,?,2,Y
9,13,9,10,2,?,?,10,12,11,15,12,15,?,?,W
10,11,16,2,7,11,12,7,9,?,16,15,?,?,6,Z
7,12,13,4,5,11,11,11,15,12,?,12,14,6,7,X
8,9,10,4,4,?,10,?,6,11,14,?,11,9,5,H
6,11,9,2,5,14,?,5,7,15,14,?,12,9,?,C
11,10,10,5,4,?,12,7,8,?,14,15,13,10,6,H
10,10,11,6,13,?,7,12,14,10,13,11,17,?,11,A
9,12,13,6,4,8,12,?,6,7,?,16,14,9,?,F
0,17,17,0,3,9,11,?,12,9,12,?,14,?,4,F
10,17,10,1,1,5,11,4,6,?,12,11,13,8,3,T
10,10,12,2,4,9,14,?,3,?,15,15,?,10,1,G
8,9,8,5,6,10,12,8,10,12,?,14,12,11,?,G
12,11,15,3,8,10,11,12,11,9,13,11,?,?,7,T
13,14,7,3,2,9,14,9,10,11,12,10,?,?,6,T
5,12,10,1,10,16,12,4,8,18,12,15,12,7,5,E
11,8,14,4,3,?,12,?,8,14,13,14,11,12,?,O
9,9,9,5,7,11,11,4,?,10,13,17,?,9,6,R
11,11,7,4,7,9,11,4,8,?,13,14,12,?,5,Q
13,6,10,3,5,4,10,?,9,?,?,11,10,10,6,A
7,14,14,2,5,12,12,?,9,5,12,?,13,?,?,P
10,5,8,5,7,7,9,11,9,5,?,12,12,12,6,G
10,10,10,12,1,14,11,8,?,11,13,18,?,?,5,M
13,8,13,9,8,?,11,14,12,13,12,12,9,?,6,R
5,10,10,0,9,16,?,6,?,20,13,11,14,7,5,E
9,11,10,8,3,11,10,10,12,?,14,11,?,11,?,N
12,9,10,10,3,5,13,?,8,11,15,?,14,13,?,W
9,8,8,6,6,13,11,?,?,7,14,14,11,13,8,N
10,5,14,5,8,8,?,?,11,18,13,11,?,?,6,L
11,10,7,3,7,?,?,3,6,13,14,?,10,13,3,Q
13,8,14,5,6,9,12,10,11,9,17,?,?,?,9,H
9,11,9,4,8,?,10,?,10,?,12,12,12,11,?,B
10,9,10,4,4,10,10,8,?,?,13,?,13,9,?,D
9,11,10,5,2,14,11,5,6,10,13,?,14,10,3,U
10,9,9,3,7,10,14,?,4,10,?,?,10,?,3,E
9,14,10,13,6,6,11,?,14,8,14,16,?,10,10,W
10,12,10,8,3,11,9,?,14,?,?,12,15,11,10,N
11,10,8,3,9,?,12,10,13,?,13,12,12,?,9,B
10,9,7,5,10,?,9,?,11,13,13,?,14,10,8,T
11,7,8,10,2,11,8,9,10,10,13,12,11,16,?,M
14,10,12,5,6,8,?,?,10,?,13,11,12,8,7,I
13,8,16,2,2,?,10,5,?,12,?,14,12,8,2,J
11,8,13,6,6,9,10,?,9,9,15,14,?,9,6,H
9,8,10,6,5,11,9,7,?,12,14,13,?,11,6,N
10,10,10,8,4,11,9,?,11,11,15,12,13,?,10,N
8,11,10,16,8,8,9,11,14,?,?,17,9,11,13,M
9,9,12,0,9,?,10,8,9,10,?,12,12,4,3,Z
12,10,9,14,8,8,9,8,13,?,16,?,16,11,11,M
12,10,7,1,12,15,?,9,11,7,?,?,12,7,4,S
10,10,13,4,7,10,9,11,?,9,?,11,?,7,5,S
8,15,14,2,4,9,10,?,7,8,13,13,18,?,4,T
12,12,9,8,5,10,13,?,11,8,15,15,16,10,5,V
8,11,10,2,10,15,?,10,?,14,12,10,?,8,4,Z
9,8,10,1,5,8,?,?,10,13,13,11,12,8,5,I
7,13,12,3,5,?,?,7,7,7,?,11,13,14,3,P
10,11,7,4,7,13,11,9,12,12,13,?,?,11,?,Q
10,11,9,7,3,9,?,3,3,9,?,17,?,12,3,N
10,8,19,1,2,?,11,?,8,13,12,13,12,7,2,J
7,7,10,9,5,?,10,15,?,?,14,9,?,11,7,U
5,15,11,10,1,?,?,10,?,13,14,10,13,10,9,W
8,11,10,4,1,12,12,7,7,?,14,?,13,10,4,U
6,16,13,5,2,6,12,10,9,?,15,15,?,11,?,V
10,10,8,4,5,11,11,8,11,?,12,12,10,11,?,Q
9,9,11,1,9,14,11,7,?,12,14,13,11,?,6,Z
9,16,9,3,1,5,13,4,9,?,?,17,?,10,3,V
2,19,17,0,3,9,9,?,10,?,11,10,15,11,3,F
12,8,9,9,11,8,13,9,15,?,9,?,10,12,14,P
7,13,12,1,4,7,10,4,4,?,?,18,13,10,?,P
9,14,17,3,3,9,?,?,?,7,?,14,13,10,4,F
10,8,18,8,0,?,12,?,14,11,16,14,13,9,5,N
10,6,9,4,0,19,11,11,11,11,11,?,12,16,3,U
11,12,15,5,8,7,?,14,?,5,12,8,17,11,8,P
9,11,14,2,8,11,12,?,?,?,14,14,14,6,2,Z
9,10,17,1,2,6,11,6,8,11,?,11,11,6,?,I
7,10,11,3,9,6,11,6,7,?,13,13,12,8,6,X
9,10,10,7,4,?,12,9,11,12,?,13,13,12,10,W
9,9,9,8,4,?,9,?,13,11,15,13,13,10,7,U
8,9,13,3,6,12,13,9,9,?,13,?,11,10,?,G
13,8,14,4,5,7,?,10,12,10,15,13,10,?,7,B
9,9,9,7,1,?,10,1,2,11,16,18,11,17,?,M
9,10,13,8,11,11,12,?,13,10,?,15,9,9,?,B
10,9,13,10,3,6,10,9,11,11,15,14,11,?,?,M
11,3,10,3,3,3,?,3,6,11,16,?,11,11,2,A
9,9,13,4,6,12,?,9,12,9,12,11,12,12,5,O
6,10,11,8,6,13,10,?,?,13,15,15,19,8,7,U
10,12,17,3,10,5,12,?,10,?,11,11,?,10,6,J
14,11,12,5,8,7,10,10,?,6,12,10,14,?,?,I
5,18,16,1,6,?,?,8,7,5,12,13,13,?,2,P
7,14,10,3,7,?,13,5,6,?,12,?,9,12,5,R
9,10,10,8,5,?,11,6,8,9,15,15,12,10,6,H
11,8,15,5,4,10,13,10,14,?,14,?,10,7,6,D
9,10,10,0,1,7,11,0,0,?,13,?,?,10,2,I
6,11,10,4,4,9,14,7,?,14,13,18,?,16,?,K
7,10,11,3,5,8,?,8,?,14,13,14,9,11,4,G
10,9,10,12,7,10,?,9,11,10,14,14,9,11,9,H
11,7,9,5,1,14,13,?,3,?,15,?,13,14,2,U
8,13,10,3,5,8,11,1,?,11,16,18,9,13,2,R
9,7,5,7,5,12,?,14,12,9,15,12,15,?,6,U
11,10,8,9,9,8,12,?,?,12,14,11,14,?,11,L
10,11,14,3,7,12,?,7,10,10,?,14,12,7,5,E
15,10,13,6,4,8,14,?,12,9,14,12,?,8,5,K
11,16,8,7,4,6,12,8,11,12,13,?,?,?,5,V
12,9,14,4,7,?,11,12,11,?,13,11,13,8,5,T
9,14,7,7,3,9,?,10,?,14,16,13,13,10,?,N
9,13,18,3,5,?,12,7,10,?,?,13,13,7,5,F
11,10,11,8,7,8,13,?,13,?,15,11,11,10,7,H
9,11,9,10,1,4,13,5,9,?,15,?,12,?,4,W
9,10,10,3,6,?,12,?,8,10,13,?,9,?,5,R
7,5,3,1,2,10,?,6,5,?,14,14,11,9,4,L
11,7,12,4,7,9,12,10,?,12,10,13,?,13,10,Q
7,10,12,4,4,?,11,8,10,?,13,?,16,9,4,U
10,10,8,1,7,11,12,?,2,?,13,18,9,11,?,G
8,11,9,10,13,6,8,9,14,?,14,12,?,10,9,K
7,17,15,2,3,8,?,8,9,5,?,?,17,9,3,T
19,4,18,1,1,?,11,11,?,14,10,?,10,11,4,J
10,10,13,3,5,8,11,4,?,9,14,?,?,9,4,B
11,9,13,3,4,?,12,4,6,9,16,?,?,10,3,R
14,11,10,5,10,?,10,7,9,9,?,13,13,10,?,D
11,10,13,3,5,8,12,4,7,?,14,15,13,9,5,B
9,10,10,4,1,13,12,9,?,?,13,14,12,18,?,H
5,15,17,2,3,10,10,10,?,8,13,13,15,8,?,Y
7,9,14,5,5,9,10,9,?,14,14,12,14,7,7,H
7,10,9,7,12,6,?,9,?,10,?,14,15,11,8,E
11,14,7,3,0,?,?,7,7,13,14,12,13,10,?,V
4,20,17,2,3,?,12,8,10,5,15,13,16,?,3,F
4,11,9,1,8,?,11,?,?,19,11,9,11,6,7,E
14,9,15,1,0,9,10,?,6,9,12,13,?,?,3,J
11,10,13,3,5,8,12,5,7,?,15,15,?,10,3,R
13,5,16,4,5,?,?,9,9,15,13,13,11,10,?,L
9,15,11,3,2,7,14,7,9,11,14,12,13,?,?,V
11,10,10,6,7,?,9,11,12,13,12,11,?,9,9,T
9,11,14,3,7,10,?,9,?,?,13,14,12,7,5,S
13,8,12,8,9,7,13,?,7,10,13,12,11,10,6,B
10,8,12,10,3,?,10,6,10,12,18,?,?,10,?,M
14,8,14,3,4,9,12,5,6,10,?,15,?,6,3,X
1,2,0,1,0,11,?,8,9,8,?,9,11,11,?,L
7,9,13,3,7,12,13,10,10,?,11,12,12,10,5,G
12,10,7,9,9,7,?,9,11,10,13,?,14,10,?,K
6,15,15,2,4,?,?,?,8,4,12,?,15,11,4,P
11,10,19,0,1,?,?,4,?,11,14,15,12,9,?,J
10,11,7,4,7,?,12,4,8,11,13,17,10,12,6,Q
8,15,10,3,2,10,?,9,10,10,?,11,15,8,5,T
12,10,16,2,4,8,12,5,8,6,16,14,?,?,5,P
9,9,10,0,0,?,10,2,2,?,13,16,12,10,?,I
5,12,17,4,1,13,10,13,15,12,14,?,?,?,4,U
11,9,9,9,5,10,10,4,7,12,?,18,13,9,4,H
10,10,13,6,7,11,?,12,12,12,?,?,16,13,10,O
11,11,10,5,8,8,12,8,13,14,?,13,?,?,10,Q
6,10,10,11,1,?,?,8,10,11,15,?,13,12,4,W
15,6,15,4,7,8,12,?,11,9,?,?,9,9,?,I
9,11,10,4,0,3,11,2,2,10,?,?,13,12,0,W
11,9,8,4,6,15,11,8,14,11,12,16,11,10,6,Q
8,15,11,3,2,7,12,4,5,?,15,15,?,10,?,V
8,11,11,12,11,8,8,11,?,10,14,13,15,9,13,N
9,12,9,5,2,?,12,6,8,13,15,14,14,?,?,U
9,10,11,3,12,13,?,10,11,?,12,9,10,10,6,S
16,3,15,4,4,?,11,9,12,?,15,?,11,11,?,A
12,16,9,1,0,5,?,?,7,10,12,10,?,7,4,T
9,9,11,0,11,17,12,6,10,?,13,16,?,?,4,Z
12,8,12,4,6,7,13,9,12,11,?,13,9,7,7,K
10,10,10,3,5,8,10,?,11,9,11,8,13,10,?,X
8,10,9,9,10,8,9,11,13,13,12,10,9,6,?,X
9,9,10,5,1,3,10,10,11,11,14,?,11,?,4,A
10,10,10,5,0,6,?,4,8,?,12,15,14,11,?,V
7,14,15,3,4,?,10,8,9,8,13,14,15,9,4,F
7,11,14,5,1,11,11,?,5,12,15,16,15,10,2,U
11,11,16,7,5,?,11,12,11,?,13,?,12,11,5,P
4,12,15,6,2,?,10,8,?,13,15,14,12,10,5,N
8,14,10,4,3,6,?,11,?,13,14,11,14,?,5,V
12,14,8,4,8,5,12,6,10,12,10,?,16,?,?,Y
6,16,15,3,3,?,?,10,11,?,?,12,18,9,6,T
9,9,14,4,4,?,?,?,10,10,15,15,14,6,4,X
8,11,12,3,6,13,13,?,6,17,14,13,?,11,3,C
11,10,8,9,10,?,17,?,14,14,12,?,?,13,11,Q
9,8,14,6,7,10,9,13,17,11,?,14,10,?,9,H
15,11,8,10,1,7,12,11,13,11,14,?,?,?,?,W
10,11,9,4,0,6,?,5,8,12,?,13,14,?,?,V
7,10,12,3,5,16,12,?,?,17,13,11,13,10,?,C
10,10,6,8,2,10,12,10,13,12,14,?,12,?,9,U
11,12,11,10,13,9,?,?,11,8,13,12,15,11,11,D
7,14,17,3,5,9,9,14,12,6,13,13,?,8,4,T
9,10,11,1,9,13,?,?,4,11,13,17,13,5,2,Z
13,9,13,4,4,?,13,?,?,9,13,13,9,9,4,R
12,7,10,3,3,4,9,5,7,?,13,15,10,12,3,A
12,15,8,3,1,8,13,4,?,10,?,15,14,8,1,T
5,12,12,5,5,6,?,?,?,10,12,13,16,8,7,Y
10,9,10,0,4,9,12,4,3,11,13,14,12,6,?,I
9,6,10,4,1,18,13,6,?,11,13,14,14,16,4,U
8,11,13,2,7,8,10,3,5,10,16,?,14,?,4,S
11,6,18,2,0,9,?,9,?,17,13,12,11,?,5,J
11,9,14,4,4,9,11,5,?,10,17,?,11,?,5,H
11,14,9,4,4,3,12,?,11,11,14,12,?,11,7,V
10,12,11,4,6,14,12,6,?,10,?,11,12,11,?,O
9,10,9,0,0,?,12,5,?,11,?,12,12,12,1,I
11,10,10,3,4,?,11,?,4,11,15,19,?,12,3,O
8,16,11,3,2,?,13,4,3,?,16,15,13,10,3,V
9,9,9,0,5,6,12,7,?,?,9,8,11,6,?,I
9,11,15,3,6,8,?,?,7,12,14,14,11,7,5,E
10,10,8,4,5,12,11,9,?,10,?,11,14,?,10,Q
11,11,20,1,2,8,10,5,?,10,15,13,?,7,?,J
10,10,9,4,6,12,?,6,8,?,12,11,?,12,5,H
10,10,10,11,0,6,12,?,?,11,14,12,?,14,4,W
10,9,10,4,5,11,10,6,7,8,15,15,13,11,4,H
10,9,8,3,6,11,12,6,6,13,14,13,?,10,3,G
12,9,14,5,7,9,?,9,13,?,14,13,9,6,8,E
10,14,8,3,1,4,?,7,?,11,12,?,14,11,3,Y
8,16,13,2,0,6,12,9,9,?,?,10,13,9,3,Y
11,10,8,5,1,7,?,8,9,?,12,13,?,11,5,U
10,15,10,3,2,9,13,2,5,11,?,18,13,9,3,T
8,14,18,3,3,8,?,12,14,4,15,14,15,9,6,F
11,10,10,4,5,11,9,3,3,10,14,17,?,?,3,H
10,12,10,3,0,6,12,2,?,10,15,19,13,12,1,V
10,9,10,4,0,13,12,1,2,11,15,?,?,14,?,U
11,8,10,9,11,8,9,7,10,11,16,?,?,11,9,B
10,10,10,3,7,11,12,?,7,?,12,13,?,9,6,E
11,8,12,10,4,?,10,11,14,11,13,12,11,?,9,M
7,11,14,4,2,15,?,10,?,13,14,12,?,8,6,U
9,11,14,3,6,?,10,6,7,?,14,13,11,6,4,E
10,9,15,3,8,12,12,9,?,?,14,14,12,5,?,Z
15,5,14,4,8,8,15,?,13,10,15,12,?,8,?,Q
10,12,8,3,3,7,13,8,10,11,14,12,?,7,?,Y
7,9,10,7,7,15,10,11,?,12,14,13,20,?,?,U
8,10,9,3,10,13,11,?,11,12,10,9,13,8,6,Z
12,10,10,4,5,?,10,8,10,7,?,13,13,12,6,H
13,11,7,6,7,8,12,9,11,7,11,?,15,?,6,Y
7,14,15,1,5,7,12,?,5,7,15,?,15,9,4,F
10,18,8,1,0,?,12,?,1,11,14,18,?,8,2,T
6,19,17,2,1,10,?,10,10,4,?,11,16,11,5,T
9,9,13,10,1,6,10,5,?,11,16,15,11,10,4,M
11,9,8,3,9,?,10,?,6,10,14,14,11,8,4,Z
7,12,12,2,5,?,10,7,8,8,14,15,17,?,?,Y
8,10,14,6,6,?,10,15,14,?,12,8,?,6,6,X
4,13,18,3,5,10,?,14,15,8,?,16,16,8,6,Y
4,16,14,3,1,6,12,10,11,?,?,13,14,?,5,V
9,13,13,1,7,9,?,9,11,5,14,?,14,9,5,P
9,13,10,2,0,4,14,?,2,11,16,17,14,?,1,Y
10,11,8,5,10,6,?,6,9,13,?,14,15,?,8,Y
7,8,7,4,6,?,12,11,11,8,10,10,?,12,5,D
4,11,14,4,4,9,10,7,?,15,16,?,14,7,6,K
2,17,16,1,3,8,?,8,9,?,?,11,14,12,?,F
15,11,14,7,2,8,11,?,13,4,?,11,13,9,?,N
8,8,12,3,6,?,13,7,8,17,13,13,11,?,4,G
10,7,11,10,7,7,11,10,11,?,12,12,12,12,?,V
12,11,7,4,6,11,?,?,9,?,13,?,12,12,5,Q
9,10,13,0,10,16,10,10,14,10,?,11,?,3,5,Z
10,9,10,3,7,10,12,3,4,?,14,14,10,10,?,E
11,9,16,7,6,8,12,12,11,?,14,12,13,?,?,P
10,16,9,3,1,?,14,3,5,11,15,18,?,10,2,V
9,10,10,5,6,7,11,?,8,11,12,10,11,10,?,X
7,13,15,2,5,8,?,13,13,9,13,?,17,5,8,T
12,10,13,4,5,9,10,10,12,8,13,?,13,?,?,D
4,15,14,3,1,6,?,8,7,?,14,14,13,10,3,V
18,3,18,0,0,10,?,5,6,14,?,13,13,10,3,J
6,14,13,7,2,6,12,9,11,11,?,?,11,10,6,N
10,10,13,4,4,?,12,?,15,10,15,14,11,8,8,H
10,7,8,3,3,4,9,4,8,10,14,16,12,11,2,A
5,14,12,12,4,5,?,12,13,10,13,?,18,10,11,W
10,8,9,8,10,10,?,13,14,?,14,12,10,11,10,F
3,12,13,11,2,5,11,11,10,?,15,?,15,9,7,W
9,14,15,2,6,10,13,?,7,?,14,12,?,13,4,P
8,10,10,1,5,16,13,7,10,?,14,18,14,?,?,C
7,13,13,2,4,7,11,?,7,6,?,?,15,11,5,P
7,12,11,2,3,7,13,9,12,13,11,9,?,6,7,Y
10,9,9,4,5,12,10,?,13,8,12,11,13,11,9,N
10,8,9,6,12,10,?,11,12,?,12,?,12,11,10,F
11,16,7,5,1,6,13,9,13,?,13,9,?,10,6,V
9,10,10,3,7,9,?,3,?,8,?,16,11,10,4,B
10,10,13,3,4,8,12,4,6,11,15,?,?,6,2,X
8,12,17,4,11,6,?,11,16,7,?,14,12,?,5,J
7,15,12,2,4,9,11,?,?,6,12,12,14,15,5,P
10,9,6,0,9,10,10,3,4,10,?,15,13,8,0,S
10,3,9,3,3,4,10,6,?,11,14,13,12,10,?,A
6,9,15,4,5,10,12,?,13,19,?,15,15,?,5,C
8,8,9,4,6,?,13,7,9,?,12,?,?,10,4,G
11,9,12,3,4,?,11,6,7,?,12,14,?,11,3,O
12,8,13,3,3,?,?,5,?,9,15,15,?,8,4,D
12,8,11,8,8,7,12,?,11,10,?,15,14,?,9,R
8,11,11,4,3,11,12,4,4,10,15,15,15,?,?,U
9,11,9,4,1,7,11,11,14,12,?,9,12,?,4,V
13,4,11,7,5,6,9,14,12,?,?,7,9,11,?,A
10,6,11,8,6,7,11,11,15,11,14,10,?,13,13,V
5,15,13,4,2,6,11,9,10,10,?,13,12,9,5,V
10,10,9,3,10,12,11,?,4,?,13,14,13,8,4,Z
16,3,14,7,2,4,9,10,11,12,15,10,?,10,?,M
10,10,18,3,8,6,13,14,13,7,13,8,10,?,?,I
10,9,10,8,1,?,11,7,9,?,13,12,?,11,5,M
7,9,10,4,3,?,12,?,?,15,14,17,9,14,1,K
13,11,10,7,13,10,7,?,13,8,13,?,13,9,14,D
13,8,15,9,7,11,?,13,10,11,14,12,9,12,6,R
10,10,10,3,11,13,11,?,12,10,12,?,11,?,9,B
9,10,10,3,6,?,13,?,5,10,12,?,10,9,4,E
14,9,12,13,6,?,9,?,15,?,17,13,14,10,17,M
11,11,11,4,8,11,?,9,?,10,14,11,11,11,?,R
7,10,12,3,5,8,10,9,11,7,?,16,16,?,6,Y
9,9,9,0,5,9,?,9,?,13,15,11,12,7,?,I
10,11,9,6,1,11,11,?,8,8,15,14,15,11,4,N
6,15,14,2,4,?,10,9,11,7,13,12,15,?,7,F
8,10,8,4,7,?,11,6,8,13,14,?,11,8,4,K
13,5,12,4,5,5,?,10,14,?,12,11,12,9,7,A
8,9,8,3,6,9,11,2,5,12,14,?,?,?,2,G
11,12,8,3,1,4,12,3,?,?,16,17,14,11,?,V
12,7,14,7,9,9,13,?,11,12,13,12,10,9,?,B
7,15,17,1,2,6,?,4,6,6,15,13,15,9,?,F
10,8,8,2,8,?,14,9,9,13,14,14,?,9,5,G
9,12,9,4,2,10,11,2,5,13,15,?,14,?,3,U
13,3,15,7,7,?,?,10,9,16,14,12,6,11,5,A
9,12,18,1,3,7,11,?,9,9,?,13,13,6,2,I
11,13,10,7,5,?,14,?,10,7,13,12,15,10,4,V
12,14,7,10,3,6,14,6,8,11,?,?,13,12,5,W
10,12,9,4,5,11,10,7,10,9,15,13,?,12,6,O
9,7,5,6,3,8,10,10,9,?,14,13,12,?,4,U
10,12,9,7,7,8,13,6,?,13,14,12,?,12,8,M
11,10,14,3,6,6,13,5,?,8,15,15,12,8,4,B
8,9,15,3,7,?,11,11,?,13,15,11,12,7,7,E
11,9,15,0,2,8,9,9,8,11,12,10,13,?,?,J
10,9,14,8,6,8,15,?,14,11,16,?,14,8,6,K
12,10,14,3,4,10,10,5,?,?,16,14,12,9,2,D
7,10,9,2,6,?,11,5,10,19,12,15,?,9,4,C
7,11,10,8,1,5,12,?,?,10,13,?,15,?,7,W
11,8,13,8,2,6,7,4,5,10,16,16,?,10,?,M
7,9,11,5,8,12,9,10,15,11,?,?,11,9,7,O
11,8,7,5,8,?,12,8,?,10,8,12,10,?,10,Q
11,8,13,5,6,9,14,7,11,12,15,14,?,?,5,K
9,4,10,3,4,4,9,?,5,?,15,18,13,10,3,A
12,10,15,4,8,?,13,8,12,?,14,11,11,6,?,E
7,14,19,3,4,8,12,12,13,8,?,12,15,?,5,S
9,10,13,0,9,?,?,7,6,10,14,13,13,?,?,Z
9,9,7,7,0,13,10,3,?,11,15,17,12,17,?,N
6,14,17,3,3,9,?,7,9,?,?,14,15,9,4,F
7,13,12,7,2,6,11,4,4,?,?,16,14,12,?,W
14,17,5,7,6,7,16,9,15,17,?,15,?,12,12,Q
2,18,16,0,3,8,10,5,7,7,13,?,13,12,3,F
12,7,10,4,9,4,11,9,?,?,?,8,13,9,?,A
11,10,9,4,7,?,11,9,11,?,12,11,11,?,7,R
8,14,14,2,3,8,10,?,8,6,13,?,18,6,4,T
8,8,8,5,13,14,?,?,12,10,?,17,10,11,7,B
11,14,6,8,4,9,12,13,11,12,14,11,?,11,?,N
11,8,16,4,9,?,12,10,13,14,15,14,10,6,8,Z
8,10,10,5,12,8,10,8,10,12,14,?,9,11,?,K
10,8,11,8,10,9,?,11,?,14,10,15,13,13,11,Q
7,9,14,6,7,10,13,?,12,14,?,11,14,12,8,O
12,9,13,4,5,8,10,5,?,9,15,15,?,9,?,R
12,10,12,3,5,7,11,10,?,?,13,?,11,5,7,X
11,10,13,3,5,8,12,3,6,?,?,16,?,9,5,B
7,13,13,2,4,?,12,5,6,7,14,15,16,10,5,F
8,15,17,1,4,8,13,13,15,4,?,?,14,8,?,P
11,8,13,4,4,10,11,9,11,12,12,11,12,?,6,O
8,12,13,6,2,6,10,6,9,?,15,?,11,9,4,N
6,9,9,4,3,9,14,7,7,?,?,13,9,14,2,K
9,11,14,6,1,6,10,5,7,?,15,14,14,9,4,N
11,10,16,7,1,6,12,?,10,11,16,12,13,?,5,N
7,12,10,5,8,7,?,13,10,13,?,?,11,9,7,R
8,9,11,2,6,16,11,?,10,15,14,?,13,8,5,C
6,15,12,5,2,6,12,13,?,9,13,14,14,?,?,V
11,10,9,3,5,10,12,3,4,?,15,18,?,11,2,Q
8,9,11,11,0,12,11,?,9,10,13,?,11,17,4,M
9,14,9,2,1,4,14,1,?,10,15,15,?,?,1,Y
10,12,10,8,10,9,?,?,13,9,?,12,12,?,9,F
9,12,10,4,1,15,11,?,8,11,12,16,12,17,2,H
5,10,9,5,4,8,?,9,10,15,13,13,9,15,3,K
6,16,18,3,3,8,11,10,?,8,13,10,?,11,6,F
12,8,14,5,4,?,12,12,14,10,16,14,11,8,?,H
8,10,10,8,8,?,11,12,11,?,14,11,?,9,9,R
10,11,8,3,7,9,11,?,6,10,14,16,10,10,?,R
11,10,9,13,11,8,10,11,15,12,15,?,11,11,?,U
12,11,13,6,7,12,11,11,13,?,?,11,10,8,6,D
